"Classification","Target","Shorthand","Prediction","Probability"
"Organ toxicity","Hepatotoxicity","dili","Inactive","0.77"
"Organ toxicity","Neurotoxicity","neuro","Inactive","0.76"
"Organ toxicity","Nephrotoxicity","nephro","Inactive","0.51"
"Organ toxicity","Respiratory toxicity","respi","Inactive","0.90"
"Organ toxicity","Cardiotoxicity","cardio","Inactive","0.80"
"Toxicity end points","Carcinogenicity","carcino","Inactive","0.59"
"Toxicity end points","Immunotoxicity","immuno","Active","0.52"
"Toxicity end points","Mutagenicity","mutagen","Inactive","0.94"
"Toxicity end points","Cytotoxicity","cyto","Inactive","0.86"
"Toxicity end points","BBB-barrier","bbb","Active","0.79"
"Toxicity end points","Ecotoxicity","eco","Inactive","0.54"
"Toxicity end points","Clinical toxicity","clinical","Inactive","0.62"
"Toxicity end points","Nutritional toxicity","nutri","Inactive","0.87"
