"Classification","Target","Shorthand","Prediction","Probability"
"Organ toxicity","Hepatotoxicity","dili","Inactive","0.65"
"Organ toxicity","Neurotoxicity","neuro","Inactive","0.62"
"Organ toxicity","Nephrotoxicity","nephro","Inactive","0.65"
"Organ toxicity","Respiratory toxicity","respi","Inactive","0.79"
"Organ toxicity","Cardiotoxicity","cardio","Inactive","0.75"
"Toxicity end points","Carcinogenicity","carcino","Inactive","0.55"
"Toxicity end points","Immunotoxicity","immuno","Inactive","0.93"
"Toxicity end points","Mutagenicity","mutagen","Inactive","0.85"
"Toxicity end points","Cytotoxicity","cyto","Inactive","0.73"
"Toxicity end points","BBB-barrier","bbb","Active","0.76"
"Toxicity end points","Ecotoxicity","eco","Active","0.71"
"Toxicity end points","Clinical toxicity","clinical","Inactive","0.55"
"Toxicity end points","Nutritional toxicity","nutri","Inactive","0.84"
