"Classification","Target","Shorthand","Prediction","Probability"
"Organ toxicity","Hepatotoxicity","dili","Inactive","0.67"
"Organ toxicity","Neurotoxicity","neuro","Inactive","0.55"
"Organ toxicity","Nephrotoxicity","nephro","Inactive","0.58"
"Organ toxicity","Respiratory toxicity","respi","Inactive","0.87"
"Organ toxicity","Cardiotoxicity","cardio","Inactive","0.73"
"Toxicity end points","Carcinogenicity","carcino","Inactive","0.57"
"Toxicity end points","Immunotoxicity","immuno","Inactive","0.99"
"Toxicity end points","Mutagenicity","mutagen","Inactive","0.94"
"Toxicity end points","Cytotoxicity","cyto","Inactive","0.80"
"Toxicity end points","BBB-barrier","bbb","Active","0.83"
"Toxicity end points","Ecotoxicity","eco","Active","0.78"
"Toxicity end points","Clinical toxicity","clinical","Inactive","0.73"
"Toxicity end points","Nutritional toxicity","nutri","Inactive","0.83"
